09/01/1979	Detroit             	16	Tampa Bay           	31
09/02/1979	Atlanta             	40	New Orleans         	34
09/02/1979	Green Bay           	 3	Chicago             	 6
09/02/1979	Cleveland           	25	NY Jets             	22
09/02/1979	Dallas              	22	St Louis            	21
09/02/1979	Cincinnati          	 0	Denver              	10
09/02/1979	Houston             	29	Washington          	27
09/02/1979	Baltimore           	 0	Kansas City         	14
09/02/1979	Miami               	 9	Buffalo             	 7
09/02/1979	San Francisco       	22	Minnesota           	28
09/02/1979	Oakland             	24	LA Rams             	17
09/02/1979	NY Giants           	17	Philadelphia        	23
09/02/1979	San Diego           	33	Seattle             	16
09/03/1979	Pittsburgh          	16	New England         	13
09/06/1979	LA Rams             	13	Denver              	 9
09/09/1979	Cincinnati          	24	Buffalo             	51
09/09/1979	Minnesota           	 7	Chicago             	26
09/09/1979	Cleveland           	27	Kansas City         	24
09/09/1979	Dallas              	21	San Francisco       	13
09/09/1979	New Orleans         	19	Green Bay           	28
09/09/1979	Seattle             	10	Miami               	19
09/09/1979	NY Jets             	 3	New England         	56
09/09/1979	Houston             	 7	Pittsburgh          	38
09/09/1979	Oakland             	10	San Diego           	30
09/09/1979	St Louis            	27	NY Giants           	14
09/09/1979	Tampa Bay           	29	Baltimore           	26
09/09/1979	Washington          	27	Detroit             	24
09/10/1979	Atlanta             	14	Philadelphia        	10
09/16/1979	Baltimore           	10	Cleveland           	13
09/16/1979	Chicago             	20	Dallas              	24
09/16/1979	Denver              	20	Atlanta             	17
09/16/1979	Kansas City         	 6	Houston             	20
09/16/1979	San Francisco       	24	LA Rams             	27
09/16/1979	Miami               	27	Minnesota           	12
09/16/1979	New England         	20	Cincinnati          	14
09/16/1979	Detroit             	10	NY Jets             	31
09/16/1979	Philadelphia        	26	New Orleans         	14
09/16/1979	Pittsburgh          	24	St Louis            	21
09/16/1979	Buffalo             	19	San Diego           	27
09/16/1979	Oakland             	10	Seattle             	27
09/16/1979	Tampa Bay           	21	Green Bay           	10
09/17/1979	NY Giants           	 0	Washington          	27
09/23/1979	NY Jets             	31	Buffalo             	46
09/23/1979	Seattle             	34	Denver              	37
09/23/1979	Atlanta             	23	Detroit             	24
09/23/1979	Houston             	30	Cincinnati          	27
09/23/1979	Oakland             	 7	Kansas City         	35
