09/12/1982	Atlanta             	16	NY Giants           	14
09/12/1982	Kansas City         	 9	Buffalo             	14
09/12/1982	Houston             	 6	Cincinnati          	27
09/12/1982	Cleveland           	21	Seattle             	 7
09/12/1982	Chicago             	10	Detroit             	17
09/12/1982	LA Rams             	23	Green Bay           	35
09/12/1982	LA Raiders          	23	San Francisco       	17
09/12/1982	Miami               	45	NY Jets             	28
09/12/1982	Tampa Bay           	10	Minnesota           	17
09/12/1982	New England         	24	Baltimore           	13
09/12/1982	San Diego           	23	Denver              	 3
09/12/1982	St Louis            	21	New Orleans         	 7
09/12/1982	Washington          	37	Philadelphia        	34
09/13/1982	Pittsburgh          	36	Dallas              	28
09/16/1982	Minnesota           	22	Buffalo             	23
09/19/1982	Dallas              	24	St Louis            	 7
09/19/1982	San Francisco       	21	Denver              	24
09/19/1982	Detroit             	19	LA Rams             	14
09/19/1982	Seattle             	21	Houston             	23
09/19/1982	San Diego           	12	Kansas City         	19
09/19/1982	LA Raiders          	38	Atlanta             	14
09/19/1982	Baltimore           	20	Miami               	24
09/19/1982	New Orleans         	10	Chicago             	 0
09/19/1982	NY Jets             	31	New England         	 7
09/19/1982	Philadelphia        	24	Cleveland           	21
09/19/1982	Cincinnati          	20	Pittsburgh          	26
09/19/1982	Washington          	21	Tampa Bay           	13
09/20/1982	Green Bay           	27	NY Giants           	19
11/21/1982	LA Rams             	17	Atlanta             	34
11/21/1982	Detroit             	17	Chicago             	20
11/21/1982	Cincinnati          	18	Philadelphia        	14
11/21/1982	New England         	 7	Cleveland           	10
11/21/1982	Tampa Bay           	 9	Dallas              	14
11/21/1982	Minnesota           	 7	Green Bay           	26
11/21/1982	Miami               	 9	Buffalo             	 7
11/21/1982	Kansas City         	17	New Orleans         	27
11/21/1982	Baltimore           	 0	NY Jets             	37
11/21/1982	Pittsburgh          	24	Houston             	10
11/21/1982	San Francisco       	31	St Louis            	20
11/21/1982	Seattle             	17	Denver              	10
11/21/1982	Washington          	27	NY Giants           	17
