09/07/1986	Atlanta             	31	New Orleans         	10
09/07/1986	Cleveland           	31	Chicago             	41
09/07/1986	LA Raiders          	36	Denver              	38
09/07/1986	Detroit             	13	Minnesota           	10
09/07/1986	Houston             	31	Green Bay           	 3
09/07/1986	Cincinnati          	14	Kansas City         	24
09/07/1986	LA Rams             	16	St Louis            	10
09/07/1986	Indianapolis        	 3	New England         	33
09/07/1986	NY Jets             	28	Buffalo             	24
09/07/1986	Miami               	28	San Diego           	50
09/07/1986	San Francisco       	31	Tampa Bay           	 7
09/07/1986	Pittsburgh          	 0	Seattle             	30
09/07/1986	Philadelphia        	14	Washington          	41
09/08/1986	NY Giants           	28	Dallas              	31
09/11/1986	New England         	20	NY Jets             	 6
09/14/1986	St Louis            	13	Atlanta             	33
09/14/1986	Philadelphia        	10	Chicago             	13
09/14/1986	Buffalo             	33	Cincinnati          	36
09/14/1986	Cleveland           	23	Houston             	20
09/14/1986	Dallas              	31	Detroit             	 7
09/14/1986	San Francisco       	13	LA Rams             	16
09/14/1986	Indianapolis        	10	Miami               	30
09/14/1986	Minnesota           	23	Tampa Bay           	10
09/14/1986	Green Bay           	10	New Orleans         	24
09/14/1986	San Diego           	 7	NY Giants           	20
09/14/1986	Kansas City         	17	Seattle             	23
09/14/1986	LA Raiders          	 6	Washington          	10
09/15/1986	Denver              	21	Pittsburgh          	10
09/18/1986	Cincinnati          	30	Cleveland           	13
09/21/1986	Atlanta             	37	Dallas              	35
09/21/1986	St Louis            	10	Buffalo             	17
09/21/1986	Denver              	33	Philadelphia        	 7
09/21/1986	Houston             	13	Kansas City         	27
09/21/1986	LA Rams             	24	Indianapolis        	 7
09/21/1986	Pittsburgh          	 7	Minnesota           	31
09/21/1986	NY Giants           	14	LA Raiders          	 9
09/21/1986	Miami               	45	NY Jets             	51
09/21/1986	New Orleans         	17	San Francisco       	26
09/21/1986	Seattle             	38	New England         	31
09/21/1986	Tampa Bay           	24	Detroit             	20
09/21/1986	Washington          	30	San Diego           	27
09/22/1986	Chicago             	25	Green Bay           	12
09/28/1986	Atlanta             	23	Tampa Bay           	20
09/28/1986	Chicago             	44	Cincinnati          	 7
