09/09/1990	Houston             	27	Atlanta             	47
09/09/1990	Indianapolis        	10	Buffalo             	26
09/09/1990	Seattle             	 0	Chicago             	17
09/09/1990	NY Jets             	20	Cincinnati          	25
09/09/1990	Pittsburgh          	 3	Cleveland           	13
09/09/1990	San Diego           	14	Dallas              	17
09/09/1990	LA Rams             	24	Green Bay           	36
09/09/1990	Minnesota           	21	Kansas City         	24
09/09/1990	Denver              	 9	LA Raiders          	14
09/09/1990	Miami               	27	New England         	24
09/09/1990	Philadelphia        	20	NY Giants           	27
09/09/1990	Tampa Bay           	38	Detroit             	21
09/09/1990	Phoenix             	 0	Washington          	31
09/10/1990	San Francisco       	13	New Orleans         	12
09/16/1990	Chicago             	31	Green Bay           	13
09/16/1990	Cincinnati          	21	San Diego           	16
09/16/1990	Atlanta             	14	Detroit             	21
09/16/1990	LA Raiders          	17	Seattle             	13
09/16/1990	LA Rams             	35	Tampa Bay           	14
09/16/1990	Buffalo             	 7	Miami               	30
09/16/1990	New Orleans         	 3	Minnesota           	32
09/16/1990	New England         	16	Indianapolis        	14
09/16/1990	NY Giants           	28	Dallas              	 7
09/16/1990	Cleveland           	21	NY Jets             	24
09/16/1990	Phoenix             	23	Philadelphia        	21
09/16/1990	Houston             	 9	Pittsburgh          	20
09/16/1990	Washington          	13	San Francisco       	26
09/17/1990	Kansas City         	23	Denver              	24
09/23/1990	Minnesota           	16	Chicago             	19
09/23/1990	New England         	 7	Cincinnati          	41
09/23/1990	Seattle             	31	Denver              	34
09/23/1990	Indianapolis        	10	Houston             	24
09/23/1990	Kansas City         	17	Green Bay           	 3
09/23/1990	Pittsburgh          	 3	LA Raiders          	20
09/23/1990	Phoenix             	 7	New Orleans         	28
09/23/1990	Miami               	 3	NY Giants           	20
09/23/1990	Philadelphia        	27	LA Rams             	21
09/23/1990	San Diego           	24	Cleveland           	14
09/23/1990	Atlanta             	13	San Francisco       	19
09/23/1990	Detroit             	20	Tampa Bay           	23
