09/05/1993	NY Giants           	26	Chicago             	20
09/05/1993	Phoenix             	17	Philadelphia        	23
09/05/1993	Atlanta             	13	Detroit             	30
09/05/1993	LA Rams             	 6	Green Bay           	36
09/05/1993	Houston             	21	New Orleans         	33
09/05/1993	San Francisco       	24	Pittsburgh          	13
09/05/1993	New England         	14	Buffalo             	38
09/05/1993	Miami               	24	Indianapolis        	20
09/05/1993	Cincinnati          	14	Cleveland           	27
09/05/1993	Denver              	26	NY Jets             	20
09/05/1993	Kansas City         	27	Tampa Bay           	 3
09/05/1993	Minnesota           	 7	LA Raiders          	24
09/05/1993	Seattle             	12	San Diego           	18
09/06/1993	Dallas              	16	Washington          	35
09/12/1993	Phoenix             	17	Washington          	10
09/12/1993	Tampa Bay           	 7	NY Giants           	23
09/12/1993	Philadelphia        	20	Green Bay           	17
09/12/1993	Detroit             	19	New England         	16
09/12/1993	Chicago             	 7	Minnesota           	10
09/12/1993	New Orleans         	34	Atlanta             	31
09/12/1993	Pittsburgh          	 0	LA Rams             	27
09/12/1993	Buffalo             	13	Dallas              	10
09/12/1993	Indianapolis        	 9	Cincinnati          	 6
09/12/1993	NY Jets             	24	Miami               	14
09/12/1993	Kansas City         	 0	Houston             	30
09/12/1993	San Diego           	17	Denver              	34
09/12/1993	LA Raiders          	17	Seattle             	13
09/13/1993	San Francisco       	13	Cleveland           	23
09/19/1993	Dallas              	17	Phoenix             	10
09/19/1993	LA Rams             	10	NY Giants           	20
09/19/1993	Washington          	31	Philadelphia        	34
09/19/1993	Detroit             	 3	New Orleans         	14
09/19/1993	Atlanta             	30	San Francisco       	37
09/19/1993	Cleveland           	19	LA Raiders          	16
09/19/1993	Cincinnati          	 7	Pittsburgh          	34
09/19/1993	Houston             	17	San Diego           	18
09/19/1993	Seattle             	17	New England         	14
09/20/1993	Denver              	 7	Kansas City         	15
09/26/1993	Tampa Bay           	17	Chicago             	47
09/26/1993	Phoenix             	20	Detroit             	26
09/26/1993	Green Bay           	13	Minnesota           	15
09/26/1993	San Francisco       	13	New Orleans         	16
09/26/1993	LA Rams             	28	Houston             	13
09/26/1993	Cleveland           	10	Indianapolis        	23
09/26/1993	Miami               	22	Buffalo             	13
09/26/1993	New England         	 7	NY Jets             	45
09/26/1993	Seattle             	19	Cincinnati          	10
09/27/1993	Pittsburgh          	45	Atlanta             	17
10/03/1993	Green Bay           	14	Dallas              	36
10/03/1993	Philadelphia        	35	NY Jets             	30
10/03/1993	Atlanta             	 0	Chicago             	 6
10/03/1993	Detroit             	10	Tampa Bay           	27
10/03/1993	New Orleans         	37	LA Rams             	 6
10/03/1993	Minnesota           	19	San Francisco       	38
10/03/1993	NY Giants           	14	Buffalo             	17
10/03/1993	Indianapolis        	13	Denver              	35
10/03/1993	LA Raiders          	 9	Kansas City         	24
10/03/1993	San Diego           	14	Seattle             	31
10/04/1993	Washington          	10	Miami               	17
10/10/1993	Dallas              	27	Indianapolis        	 3
10/10/1993	NY Giants           	41	Washington          	 7
10/10/1993	Chicago             	17	Philadelphia        	 6
10/10/1993	Denver              	27	Green Bay           	30
10/10/1993	Tampa Bay           	 0	Minnesota           	15
