09/01/1996	Buffalo             	23	NY Giants           	20
09/01/1996	Arizona             	13	Indianapolis        	20
09/01/1996	New England         	10	Miami               	24
09/01/1996	Oakland             	14	Baltimore           	19
09/01/1996	Pittsburgh          	 9	Jacksonville        	24
09/01/1996	NY Jets             	 6	Denver              	31
09/01/1996	Kansas City         	20	Houston             	19
09/01/1996	Seattle             	 7	San Diego           	29
09/01/1996	Philadelphia        	17	Washington          	14
09/01/1996	Green Bay           	34	Tampa Bay           	 3
09/01/1996	Detroit             	13	Minnesota           	17
09/01/1996	Atlanta             	 6	Carolina            	29
09/01/1996	Cincinnati          	16	St Louis            	26
09/01/1996	New Orleans         	11	San Francisco       	27
09/02/1996	Dallas              	 6	Chicago             	22
09/08/1996	New England         	10	Buffalo             	17
09/08/1996	Indianapolis        	21	NY Jets             	 7
09/08/1996	Miami               	38	Arizona             	10
09/08/1996	Houston             	34	Jacksonville        	27
09/08/1996	Baltimore           	17	Pittsburgh          	31
09/08/1996	Denver              	30	Seattle             	20
09/08/1996	Oakland             	 3	Kansas City         	19
09/08/1996	Cincinnati          	14	San Diego           	27
09/08/1996	NY Giants           	 0	Dallas              	27
09/08/1996	Chicago             	 3	Washington          	10
09/08/1996	Tampa Bay           	 6	Detroit             	21
09/08/1996	Minnesota           	23	Atlanta             	17
09/08/1996	Carolina            	22	New Orleans         	20
09/08/1996	St Louis            	 0	San Francisco       	34
09/09/1996	Philadelphia        	13	Green Bay           	39
09/15/1996	Indianapolis        	25	Dallas              	24
09/15/1996	NY Jets             	27	Miami               	36
09/15/1996	Arizona             	 0	New England         	31
09/15/1996	New Orleans         	15	Cincinnati          	30
09/15/1996	Baltimore           	13	Houston             	29
09/15/1996	Tampa Bay           	23	Denver              	27
09/15/1996	Kansas City         	35	Seattle             	17
09/15/1996	Jacksonville        	 3	Oakland             	17
09/15/1996	Detroit             	17	Philadelphia        	24
09/15/1996	Washington          	31	NY Giants           	10
09/15/1996	San Diego           	10	Green Bay           	42
09/15/1996	Minnesota           	20	Chicago             	14
09/16/1996	Buffalo             	 6	Pittsburgh          	24
09/22/1996	Dallas              	 7	Buffalo             	10
09/22/1996	Jacksonville        	25	New England         	28
09/22/1996	Denver              	14	Kansas City         	17
09/22/1996	San Diego           	40	Oakland             	34
09/22/1996	Seattle             	17	Tampa Bay           	13
09/22/1996	Arizona             	28	New Orleans         	14
09/22/1996	NY Giants           	13	NY Jets             	 6
09/22/1996	Philadelphia        	33	Atlanta             	18
09/22/1996	Washington          	17	St Louis            	10
09/22/1996	Chicago             	16	Detroit             	35
09/22/1996	Green Bay           	21	Minnesota           	30
09/22/1996	San Francisco       	 7	Carolina            	23
09/23/1996	Miami               	 6	Indianapolis        	10
09/29/1996	New Orleans         	10	Baltimore           	17
09/29/1996	Carolina            	14	Jacksonville        	24
09/29/1996	Houston             	16	Pittsburgh          	30
09/29/1996	Denver              	14	Cincinnati          	10
09/29/1996	Kansas City         	19	San Diego           	22
09/29/1996	St Louis            	28	Arizona             	31
09/29/1996	Minnesota           	10	NY Giants           	15
