09/12/1999	Arizona        	25	Philadelphia   	24	1
09/12/1999	Kansas City    	17	Chicago        	20	1
09/12/1999	Dallas         	41	Washington     	35	1
09/12/1999	Detroit        	28	Seattle        	20	1
09/12/1999	Oakland        	24	Green Bay      	28	1
09/12/1999	Buffalo        	14	Indianapolis   	31	1
09/12/1999	San Francisco  	3	Jacksonville   	41	1
09/12/1999	Minnesota      	17	Atlanta        	14	1
09/12/1999	New England    	30	NY Jets        	28	1
09/12/1999	Carolina       	10	New Orleans    	19	1
09/12/1999	NY Giants      	17	Tampa Bay      	13	1
09/12/1999	Pittsburgh     	43	Cleveland      	0	1
09/12/1999	Baltimore      	10	St Louis       	27	1
09/12/1999	Cincinnati     	35	Tennessee      	36	1
09/13/1999	Miami          	38	Denver         	21	1
09/19/1999	NY Jets        	3	Buffalo        	17	1
09/19/1999	Green Bay      	15	Detroit        	23	1
09/19/1999	Jacksonville   	22	Carolina       	20	1
09/19/1999	Denver         	10	Kansas City    	26	1
09/19/1999	Arizona        	16	Miami          	19	1
09/19/1999	Indianapolis   	28	New England    	31	1
09/19/1999	Oakland        	22	Minnesota      	17	1
09/19/1999	Pittsburgh     	23	Baltimore      	20	1
09/19/1999	San Diego      	34	Cincinnati     	7	1
09/19/1999	New Orleans    	21	San Francisco  	28	1
09/19/1999	Seattle        	14	Chicago        	13	1
09/19/1999	Tampa Bay      	19	Philadelphia   	5	1
09/19/1999	Cleveland      	9	Tennessee      	26	1
09/19/1999	Washington     	50	NY Giants      	21	1
09/20/1999	Atlanta        	7	Dallas         	24	1
09/26/1999	Cleveland      	10	Baltimore      	17	1
09/26/1999	Philadelphia   	0	Buffalo        	26	1
09/26/1999	Cincinnati     	3	Carolina       	27	1
09/26/1999	Minnesota      	20	Green Bay      	23	1
09/26/1999	Indianapolis   	27	San Diego      	19	1
09/26/1999	Detroit        	21	Kansas City    	31	1
09/26/1999	NY Giants      	14	New England    	16	1
09/26/1999	Chicago        	17	Oakland        	24	1
09/26/1999	Atlanta        	7	St Louis       	35	1
09/26/1999	Seattle        	29	Pittsburgh     	10	1
09/26/1999	Denver         	10	Tampa Bay      	13	1
09/26/1999	Tennessee      	20	Jacksonville   	19	1
09/26/1999	Washington     	27	NY Jets        	20	1
09/27/1999	San Francisco  	24	Arizona        	10	1
10/03/1999	Baltimore      	19	Atlanta        	13	1
10/03/1999	New Orleans    	10	Chicago        	14	1
10/03/1999	Arizona        	7	Dallas         	35	1
10/03/1999	Jacksonville   	17	Pittsburgh     	3	1
10/03/1999	Tampa Bay      	14	Minnesota      	21	1
10/03/1999	New England    	19	Cleveland      	7	1
10/03/1999	Philadelphia   	15	NY Giants      	16	1
10/03/1999	NY Jets        	21	Denver         	13	1
10/03/1999	St Louis       	38	Cincinnati     	10	1
10/03/1999	Kansas City    	14	San Diego      	21	1
10/03/1999	Tennessee      	22	San Francisco  	24	1
10/03/1999	Oakland        	21	Seattle        	22	1
10/03/1999	Carolina       	36	Washington     	38	1
10/04/1999	Buffalo        	23	Miami          	18	1
10/10/1999	NY Giants      	3	Arizona        	14	1
10/10/1999	Atlanta        	20	New Orleans    	17	1
10/10/1999	Pittsburgh     	21	Buffalo        	24	1
10/10/1999	Chicago        	24	Minnesota      	22	1
10/10/1999	Cincinnati     	18	Cleveland      	17	1
10/10/1999	Denver         	16	Oakland        	13	1
10/10/1999	Tampa Bay      	23	Green Bay      	26	1
10/10/1999	New England    	14	Kansas City    	16	1
10/10/1999	Miami          	34	Indianapolis   	31	1
10/10/1999	Dallas         	10	Philadelphia   	13	1
10/10/1999	San Francisco  	20	St Louis       	42	1
10/10/1999	San Diego      	20	Detroit        	10	1
10/10/1999	Baltimore      	11	Tennessee      	14	1
10/11/1999	Jacksonville   	16	NY Jets        	6	1
10/17/1999	Carolina       	31	San Francisco  	29	1
10/17/1999	Green Bay      	10	Denver         	31	1
10/17/1999	Minnesota      	23	Detroit        	25	1
10/17/1999	Indianapolis   	16	NY Jets        	13	1
10/17/1999	Cleveland      	7	Jacksonville   	24	1
10/17/1999	Miami          	31	New England    	30	1
10/17/1999	Oakland        	20	Buffalo        	14	1
10/17/1999	Philadelphia   	20	Chicago        	16	1
10/17/1999	Pittsburgh     	17	Cincinnati     	3	1
10/17/1999	St Louis       	41	Atlanta        	13	1
10/17/1999	Seattle        	10	San Diego      	13	1
10/17/1999	Tennessee      	24	New Orleans    	21	1
10/17/1999	Washington     	24	Arizona        	10	1
10/18/1999	Dallas         	10	NY Giants      	13	1
10/21/1999	Kansas City    	35	Baltimore      	8	1
10/24/1999	Washington     	20	Dallas         	38	1
10/24/1999	Detroit        	24	Carolina       	9	1
10/24/1999	Green Bay      	31	San Diego      	3	1
10/24/1999	Cincinnati     	10	Indianapolis   	31	1
10/24/1999	Philadelphia   	13	Miami          	16	1
