09/19/1971	San Francisco       	17	Atlanta             	20
09/19/1971	NY Jets             	 0	Baltimore           	22
09/19/1971	Pittsburgh          	15	Chicago             	17
09/19/1971	Philadelphia        	14	Cincinnati          	37
09/19/1971	Houston             	13	Cleveland           	14
09/19/1971	Dallas              	49	Buffalo             	37
09/19/1971	Miami               	10	Denver              	10
09/19/1971	Oakland             	 6	New England         	20
09/19/1971	LA Rams             	20	New Orleans         	24
09/19/1971	NY Giants           	42	Green Bay           	40
09/19/1971	Kansas City         	14	San Diego           	21
09/19/1971	Washington          	24	St Louis            	17
09/20/1971	Minnesota           	16	Detroit             	13
09/26/1971	Atlanta             	20	LA Rams             	20
09/26/1971	Chicago             	20	Minnesota           	17
09/26/1971	Cleveland           	14	Baltimore           	13
09/26/1971	Dallas              	42	Philadelphia        	 7
09/26/1971	Detroit             	34	New England         	 7
09/26/1971	Denver              	13	Green Bay           	34
09/26/1971	Kansas City         	20	Houston             	16
09/26/1971	Miami               	29	Buffalo             	14
09/26/1971	Oakland             	34	San Diego           	 0
09/26/1971	Cincinnati          	10	Pittsburgh          	21
09/26/1971	San Francisco       	38	New Orleans         	20
09/26/1971	Washington          	30	NY Giants           	 3
09/27/1971	NY Jets             	10	St Louis            	17
10/03/1971	Baltimore           	23	New England         	 3
10/03/1971	Atlanta             	38	Detroit             	41
10/03/1971	Cincinnati          	17	Green Bay           	20
10/03/1971	Kansas City         	16	Denver              	 3
10/03/1971	Chicago             	 3	LA Rams             	17
10/03/1971	Buffalo             	 0	Minnesota           	19
10/03/1971	New Orleans         	13	Houston             	13
10/03/1971	NY Giants           	21	St Louis            	20
10/03/1971	NY Jets             	14	Miami               	10
10/03/1971	San Diego           	17	Pittsburgh          	21
10/03/1971	San Francisco       	31	Philadelphia        	 3
10/03/1971	Washington          	20	Dallas              	16
10/04/1971	Oakland             	34	Cleveland           	20
10/10/1971	Baltimore           	43	Buffalo             	 0
10/10/1971	New Orleans         	14	Chicago             	35
10/10/1971	Pittsburgh          	17	Cleveland           	27
10/10/1971	Green Bay           	28	Detroit             	31
10/10/1971	San Diego           	10	Kansas City         	31
10/10/1971	LA Rams             	20	San Francisco       	13
10/10/1971	Miami               	23	Cincinnati          	13
10/10/1971	Minnesota           	13	Philadelphia        	 0
10/10/1971	NY Jets             	 0	New England         	20
10/10/1971	Denver              	16	Oakland             	27
10/10/1971	St Louis            	26	Atlanta             	 9
10/10/1971	Houston             	13	Washington          	22
10/11/1971	NY Giants           	13	Dallas              	20
10/17/1971	Baltimore           	31	NY Giants           	 7
10/17/1971	Cleveland           	27	Cincinnati          	24
10/17/1971	San Diego           	16	Denver              	20
10/17/1971	Detroit             	31	Houston             	 7
10/17/1971	LA Rams             	24	Atlanta             	16
10/17/1971	New England         	 3	Miami               	41
10/17/1971	Minnesota           	24	Green Bay           	13
10/17/1971	Dallas              	14	New Orleans         	24
10/17/1971	Buffalo             	17	NY Jets             	28
10/17/1971	Philadelphia        	10	Oakland             	34
10/17/1971	Chicago             	 0	San Francisco       	13
10/17/1971	St Louis            	 0	Washington          	20
10/18/1971	Pittsburgh          	16	Kansas City         	38
10/23/1971	Buffalo             	 3	San Diego           	20
10/24/1971	New Orleans         	 6	Atlanta             	28
10/24/1971	Chicago             	28	Detroit             	23
10/24/1971	New England         	21	Dallas              	44
10/24/1971	Denver              	27	Cleveland           	 0
