09/18/1977	LA Rams             	 6	Atlanta             	17
09/18/1977	Baltimore           	29	Seattle             	14
09/18/1977	Detroit             	20	Chicago             	30
09/18/1977	Cleveland           	13	Cincinnati          	 3
09/18/1977	Dallas              	16	Minnesota           	10
09/18/1977	St Louis            	 0	Denver              	 7
09/18/1977	Green Bay           	24	New Orleans         	20
09/18/1977	NY Jets             	 0	Houston             	20
09/18/1977	Miami               	13	Buffalo             	 0
09/18/1977	Kansas City         	17	New England         	21
09/18/1977	Washington          	17	NY Giants           	20
09/18/1977	San Diego           	 0	Oakland             	24
09/18/1977	Tampa Bay           	 3	Philadelphia        	13
09/19/1977	San Francisco       	 0	Pittsburgh          	27
09/24/1977	Minnesota           	 9	Tampa Bay           	 3
09/25/1977	Baltimore           	20	NY Jets             	12
09/25/1977	Seattle             	20	Cincinnati          	42
09/25/1977	NY Giants           	21	Dallas              	41
09/25/1977	Buffalo             	 6	Denver              	26
09/25/1977	New Orleans         	19	Detroit             	23
09/25/1977	Houston             	16	Green Bay           	10
09/25/1977	Philadelphia        	 0	LA Rams             	20
09/25/1977	Miami               	19	San Francisco       	15
09/25/1977	Oakland             	16	Pittsburgh          	 7
09/25/1977	San Diego           	23	Kansas City         	 7
09/25/1977	Chicago             	13	St Louis            	16
09/25/1977	Atlanta             	 6	Washington          	10
09/26/1977	New England         	27	Cleveland           	30
10/02/1977	NY Giants           	 3	Atlanta             	17
10/02/1977	Buffalo             	14	Baltimore           	17
10/02/1977	Tampa Bay           	 7	Dallas              	23
10/02/1977	Denver              	24	Seattle             	13
10/02/1977	Philadelphia        	13	Detroit             	17
10/02/1977	San Francisco       	14	LA Rams             	34
10/02/1977	Houston             	 7	Miami               	27
10/02/1977	Green Bay           	 7	Minnesota           	19
10/02/1977	New Orleans         	42	Chicago             	24
10/02/1977	New England         	27	NY Jets             	30
10/02/1977	Pittsburgh          	28	Cleveland           	14
10/02/1977	Cincinnati          	 3	San Diego           	24
10/02/1977	St Louis            	14	Washington          	24
10/03/1977	Oakland             	37	Kansas City         	28
10/09/1977	Atlanta             	 7	San Francisco       	 0
10/09/1977	Miami               	28	Baltimore           	45
10/09/1977	Cincinnati          	17	Green Bay           	 7
10/09/1977	Dallas              	30	St Louis            	24
10/09/1977	Kansas City         	 7	Denver              	23
10/09/1977	Pittsburgh          	10	Houston             	27
10/09/1977	Detroit             	 7	Minnesota           	14
10/09/1977	Seattle             	 0	New England         	31
10/09/1977	NY Jets             	24	Buffalo             	19
10/09/1977	Oakland             	26	Cleveland           	10
10/09/1977	Philadelphia        	28	NY Giants           	10
10/09/1977	San Diego           	14	New Orleans         	 0
10/09/1977	Washington          	10	Tampa Bay           	 0
10/10/1977	LA Rams             	23	Chicago             	24
10/16/1977	Baltimore           	17	Kansas City         	 6
10/16/1977	Atlanta             	 0	Buffalo             	 3
10/16/1977	Cleveland           	24	Houston             	23
10/16/1977	Washington          	16	Dallas              	34
10/16/1977	Denver              	30	Oakland             	 7
10/16/1977	Green Bay           	 6	Detroit             	10
10/16/1977	New Orleans         	 7	LA Rams             	14
10/16/1977	NY Jets             	17	Miami               	21
10/16/1977	Chicago             	16	Minnesota           	22
10/16/1977	New England         	24	San Diego           	20
10/16/1977	San Francisco       	17	NY Giants           	20
10/16/1977	Tampa Bay           	23	Seattle             	30
10/16/1977	St Louis            	21	Philadelphia        	17
10/17/1977	Cincinnati          	14	Pittsburgh          	20
10/23/1977	Atlanta             	16	Chicago             	10
10/23/1977	Cleveland           	27	Buffalo             	16
10/23/1977	Dallas              	16	Philadelphia        	10
10/23/1977	Denver              	24	Cincinnati          	13
10/23/1977	Green Bay           	13	Tampa Bay           	 0
10/23/1977	Kansas City         	21	San Diego           	16
10/23/1977	Seattle             	13	Miami               	31
10/23/1977	Baltimore           	 3	New England         	17
10/23/1977	NY Giants           	17	Washington          	 6
10/23/1977	Oakland             	28	NY Jets             	27
10/23/1977	Houston             	10	Pittsburgh          	27
10/23/1977	Detroit             	 7	San Francisco       	28
10/23/1977	New Orleans         	31	St Louis            	49
10/24/1977	Minnesota           	 3	LA Rams             	35
10/30/1977	Pittsburgh          	21	Baltimore           	31
10/30/1977	Chicago             	26	Green Bay           	 0
10/30/1977	Houston             	10	Cincinnati          	13
10/30/1977	Kansas City         	 7	Cleveland           	44
10/30/1977	Detroit             	 0	Dallas              	37
10/30/1977	Minnesota           	14	Atlanta             	 7
10/30/1977	NY Jets             	13	New England         	24
10/30/1977	LA Rams             	26	New Orleans         	27
10/30/1977	Oakland             	24	Denver              	14
10/30/1977	San Diego           	14	Miami               	13
