09/02/1978	NY Giants           	19	Tampa Bay           	13
09/03/1978	Houston             	14	Atlanta             	20
09/03/1978	St Louis            	10	Chicago             	17
09/03/1978	San Francisco       	 7	Cleveland           	24
09/03/1978	Oakland             	 6	Denver              	14
09/03/1978	Green Bay           	13	Detroit             	 7
09/03/1978	Kansas City         	24	Cincinnati          	23
09/03/1978	LA Rams             	16	Philadelphia        	14
09/03/1978	Minnesota           	24	New Orleans         	31
09/03/1978	Miami               	20	NY Jets             	33
09/03/1978	Pittsburgh          	28	Buffalo             	17
09/03/1978	San Diego           	24	Seattle             	20
09/03/1978	Washington          	16	New England         	14
09/04/1978	Baltimore           	 0	Dallas              	38
09/09/1978	Detroit             	15	Tampa Bay           	 7
09/10/1978	Chicago             	16	San Francisco       	13
09/10/1978	Cincinnati          	10	Cleveland           	13
09/10/1978	Dallas              	34	NY Giants           	24
09/10/1978	New Orleans         	17	Green Bay           	28
09/10/1978	Houston             	20	Kansas City         	17
09/10/1978	Atlanta             	 0	LA Rams             	10
09/10/1978	Miami               	42	Baltimore           	 0
09/10/1978	New England         	16	St Louis            	 6
09/10/1978	NY Jets             	21	Buffalo             	20
09/10/1978	Oakland             	21	San Diego           	20
09/10/1978	Seattle             	10	Pittsburgh          	21
09/10/1978	Philadelphia        	30	Washington          	35
09/11/1978	Denver              	 9	Minnesota           	12
09/17/1978	Chicago             	19	Detroit             	 0
09/17/1978	Cleveland           	24	Atlanta             	16
09/17/1978	San Diego           	14	Denver              	27
09/17/1978	San Francisco       	19	Houston             	20
09/17/1978	Dallas              	14	LA Rams             	27
09/17/1978	Buffalo             	24	Miami               	31
09/17/1978	Kansas City         	10	NY Giants           	26
09/17/1978	Oakland             	28	Green Bay           	 3
09/17/1978	Philadelphia        	24	New Orleans         	17
09/17/1978	Pittsburgh          	28	Cincinnati          	 3
09/17/1978	Seattle             	24	NY Jets             	17
09/17/1978	Tampa Bay           	16	Minnesota           	10
09/17/1978	Washington          	28	St Louis            	10
09/18/1978	Baltimore           	34	New England         	27
09/24/1978	Baltimore           	17	Buffalo             	24
09/24/1978	St Louis            	12	Dallas              	21
09/24/1978	Denver              	23	Kansas City         	17
09/24/1978	Green Bay           	27	San Diego           	14
09/24/1978	LA Rams             	10	Houston             	 6
09/24/1978	New England         	21	Oakland             	14
09/24/1978	New Orleans         	20	Cincinnati          	18
09/24/1978	San Francisco       	10	NY Giants           	27
09/24/1978	Miami               	 3	Philadelphia        	17
09/24/1978	Cleveland           	 9	Pittsburgh          	15
09/24/1978	Detroit             	16	Seattle             	28
09/24/1978	Atlanta             	 9	Tampa Bay           	14
09/24/1978	NY Jets             	 3	Washington          	23
09/25/1978	Minnesota           	24	Chicago             	20
10/01/1978	NY Giants           	20	Atlanta             	23
10/01/1978	Kansas City         	13	Buffalo             	28
10/01/1978	Seattle             	 7	Denver              	28
10/01/1978	Detroit             	14	Green Bay           	35
10/01/1978	Houston             	16	Cleveland           	13
10/01/1978	LA Rams             	26	New Orleans         	20
10/01/1978	St Louis            	10	Miami               	24
10/01/1978	Minnesota           	24	Tampa Bay           	 7
10/01/1978	San Diego           	23	New England         	28
10/01/1978	Oakland             	25	Chicago             	19
10/01/1978	Philadelphia        	17	Baltimore           	14
10/01/1978	Pittsburgh          	28	NY Jets             	17
10/01/1978	Cincinnati          	12	San Francisco       	28
10/02/1978	Dallas              	 5	Washington          	 9
10/08/1978	Baltimore           	30	St Louis            	17
10/08/1978	Cleveland           	24	New Orleans         	16
10/08/1978	NY Giants           	 3	Dallas              	24
