09/07/1980	Baltimore           	17	NY Jets             	14
09/07/1980	Miami               	 7	Buffalo             	17
09/07/1980	Detroit             	41	LA Rams             	20
09/07/1980	Chicago             	 6	Green Bay           	12
09/07/1980	Atlanta             	23	Minnesota           	24
09/07/1980	Cleveland           	17	New England         	34
09/07/1980	NY Giants           	41	St Louis            	35
09/07/1980	Oakland             	27	Kansas City         	14
09/07/1980	Denver              	 6	Philadelphia        	27
09/07/1980	Houston             	17	Pittsburgh          	31
09/07/1980	San Diego           	34	Seattle             	13
09/07/1980	San Francisco       	26	New Orleans         	23
09/07/1980	Tampa Bay           	17	Cincinnati          	12
09/08/1980	Dallas              	17	Washington          	 3
09/11/1980	LA Rams             	 9	Tampa Bay           	10
09/14/1980	Atlanta             	37	New England         	21
09/14/1980	NY Jets             	10	Buffalo             	20
09/14/1980	New Orleans         	 3	Chicago             	22
09/14/1980	Dallas              	20	Denver              	41
09/14/1980	Detroit             	29	Green Bay           	 7
09/14/1980	Cincinnati          	16	Miami               	17
09/14/1980	Philadelphia        	42	Minnesota           	 7
09/14/1980	Pittsburgh          	20	Baltimore           	17
09/14/1980	Oakland             	24	San Diego           	30
09/14/1980	St Louis            	21	San Francisco       	24
09/14/1980	Seattle             	17	Kansas City         	16
09/14/1980	Washington          	23	NY Giants           	21
09/15/1980	Houston             	16	Cleveland           	 7
09/21/1980	Buffalo             	35	New Orleans         	26
09/21/1980	Pittsburgh          	28	Cincinnati          	30
09/21/1980	Kansas City         	13	Cleveland           	20
09/21/1980	Tampa Bay           	17	Dallas              	28
09/21/1980	St Louis            	 7	Detroit             	20
09/21/1980	Baltimore           	16	Houston             	21
09/21/1980	Green Bay           	21	LA Rams             	51
09/21/1980	Miami               	20	Atlanta             	17
09/21/1980	Minnesota           	34	Chicago             	14
09/21/1980	New England         	37	Seattle             	31
09/21/1980	Washington          	21	Oakland             	24
09/21/1980	San Diego           	30	Denver              	13
09/21/1980	San Francisco       	37	NY Jets             	27
09/22/1980	NY Giants           	 3	Philadelphia        	35
09/28/1980	Atlanta             	20	San Francisco       	17
09/28/1980	NY Jets             	21	Baltimore           	35
09/28/1980	Oakland             	 7	Buffalo             	24
09/28/1980	Cleveland           	34	Tampa Bay           	27
09/28/1980	Dallas              	28	Green Bay           	 7
09/28/1980	Minnesota           	 7	Detroit             	27
09/28/1980	Houston             	13	Cincinnati          	10
09/28/1980	LA Rams             	28	NY Giants           	 7
09/28/1980	New Orleans         	16	Miami               	21
09/28/1980	Chicago             	 3	Pittsburgh          	38
09/28/1980	San Diego           	24	Kansas City         	 7
09/28/1980	Seattle             	14	Washington          	 0
09/28/1980	Philadelphia        	14	St Louis            	24
09/29/1980	Denver              	14	New England         	23
10/05/1980	Detroit             	28	Atlanta             	43
10/05/1980	Baltimore           	30	Miami               	17
10/05/1980	Buffalo             	26	San Diego           	24
10/05/1980	NY Giants           	 3	Dallas              	24
10/05/1980	Denver              	19	Cleveland           	16
10/05/1980	Cincinnati          	 9	Green Bay           	14
10/05/1980	Kansas City         	31	Oakland             	17
10/05/1980	San Francisco       	26	LA Rams             	48
10/05/1980	New England         	21	NY Jets             	11
10/05/1980	Washington          	14	Philadelphia        	24
10/05/1980	Pittsburgh          	23	Minnesota           	17
10/05/1980	Seattle             	26	Houston             	 7
10/05/1980	St Louis            	40	New Orleans         	 7
10/06/1980	Tampa Bay           	 0	Chicago             	23
10/12/1980	Baltimore           	17	Buffalo             	12
10/12/1980	Cincinnati          	17	Pittsburgh          	16
10/12/1980	Cleveland           	27	Seattle             	 3
10/12/1980	San Francisco       	14	Dallas              	59
10/12/1980	New Orleans         	13	Detroit             	24
10/12/1980	Green Bay           	14	Tampa Bay           	14
10/12/1980	Houston             	20	Kansas City         	21
10/12/1980	LA Rams             	21	St Louis            	13
10/12/1980	Chicago             	 7	Minnesota           	13
10/12/1980	Miami               	 0	New England         	34
10/12/1980	NY Jets             	14	Atlanta             	 7
10/12/1980	San Diego           	24	Oakland             	38
10/12/1980	Philadelphia        	31	NY Giants           	16
10/13/1980	Washington          	17	Denver              	20
10/19/1980	Atlanta             	41	New Orleans         	14
10/19/1980	Detroit             	 7	Chicago             	24
10/19/1980	Minnesota           	 0	Cincinnati          	14
10/19/1980	Green Bay           	21	Cleveland           	26
10/19/1980	Tampa Bay           	14	Houston             	20
10/19/1980	Kansas City         	23	Denver              	17
10/19/1980	LA Rams             	31	San Francisco       	17
10/19/1980	Buffalo             	14	Miami               	17
10/19/1980	New England         	37	Baltimore           	21
10/19/1980	Dallas              	10	Philadelphia        	17
10/19/1980	NY Giants           	 7	San Diego           	44
10/19/1980	Seattle             	27	NY Jets             	17
