09/04/1988	Minnesota           	10	Buffalo             	13
09/04/1988	Miami               	 7	Chicago             	34
09/04/1988	Phoenix             	14	Cincinnati          	21
09/04/1988	Cleveland           	 6	Kansas City         	 3
09/04/1988	Atlanta             	17	Detroit             	31
09/04/1988	Houston             	17	Indianapolis        	14
09/04/1988	San Diego           	13	LA Raiders          	24
09/04/1988	LA Rams             	34	Green Bay           	 7
09/04/1988	NY Jets             	 3	New England         	28
09/04/1988	Philadelphia        	41	Tampa Bay           	14
09/04/1988	Dallas              	21	Pittsburgh          	24
09/04/1988	San Francisco       	34	New Orleans         	33
09/04/1988	Seattle             	21	Denver              	14
09/05/1988	Washington          	20	NY Giants           	27
09/11/1988	Miami               	 6	Buffalo             	 9
09/11/1988	Chicago             	17	Indianapolis        	13
09/11/1988	Cincinnati          	28	Philadelphia        	24
09/11/1988	San Diego           	 3	Denver              	34
09/11/1988	LA Raiders          	35	Houston             	38
09/11/1988	Detroit             	10	LA Rams             	17
09/11/1988	New England         	 6	Minnesota           	36
09/11/1988	New Orleans         	29	Atlanta             	21
09/11/1988	NY Jets             	23	Cleveland           	 3
09/11/1988	San Francisco       	20	NY Giants           	17
09/11/1988	Kansas City         	10	Seattle             	31
09/11/1988	Tampa Bay           	13	Green Bay           	10
09/11/1988	Pittsburgh          	29	Washington          	30
09/12/1988	Dallas              	17	Phoenix             	14
09/18/1988	Atlanta             	34	San Francisco       	17
09/18/1988	Buffalo             	16	New England         	14
09/18/1988	Cincinnati          	17	Pittsburgh          	12
09/18/1988	Denver              	13	Kansas City         	20
09/18/1988	LA Rams             	22	LA Raiders          	17
09/18/1988	Green Bay           	17	Miami               	24
09/18/1988	Minnesota           	31	Chicago             	 7
09/18/1988	New Orleans         	22	Detroit             	14
09/18/1988	NY Giants           	12	Dallas              	10
09/18/1988	Houston             	 3	NY Jets             	45
09/18/1988	Phoenix             	30	Tampa Bay           	24
09/18/1988	Seattle             	 6	San Diego           	17
09/18/1988	Philadelphia        	10	Washington          	17
09/19/1988	Indianapolis        	17	Cleveland           	23
09/25/1988	Pittsburgh          	28	Buffalo             	36
09/25/1988	Chicago             	24	Green Bay           	 6
09/25/1988	Cleveland           	17	Cincinnati          	24
09/25/1988	Atlanta             	20	Dallas              	26
09/25/1988	New England         	 6	Houston             	31
09/25/1988	Miami               	13	Indianapolis        	15
