09/10/1989	Buffalo             	27	Miami               	24
09/10/1989	Cincinnati          	14	Chicago             	17
09/10/1989	Cleveland           	51	Pittsburgh          	 0
09/10/1989	Kansas City         	20	Denver              	34
09/10/1989	LA Rams             	31	Atlanta             	21
09/10/1989	Houston             	 7	Minnesota           	38
09/10/1989	New England         	27	NY Jets             	24
09/10/1989	Dallas              	 0	New Orleans         	28
09/10/1989	Phoenix             	16	Detroit             	13
09/10/1989	San Diego           	40	LA Raiders          	14
09/10/1989	San Francisco       	30	Indianapolis        	24
09/10/1989	Seattle             	31	Philadelphia        	 7
09/10/1989	Tampa Bay           	23	Green Bay           	21
09/12/1989	NY Giants           	27	Washington          	24
09/18/1989	Dallas              	21	Atlanta             	27
09/18/1989	Minnesota           	 7	Chicago             	38
09/18/1989	Pittsburgh          	10	Cincinnati          	41
09/18/1989	NY Jets             	24	Cleveland           	38
09/18/1989	New Orleans         	34	Green Bay           	35
09/18/1989	Houston             	34	San Diego           	27
09/18/1989	LA Raiders          	19	Kansas City         	24
09/18/1989	Indianapolis        	17	LA Rams             	31
09/18/1989	Miami               	24	New England         	10
09/18/1989	Detroit             	14	NY Giants           	24
09/18/1989	Philadelphia        	42	Washington          	37
09/18/1989	Phoenix             	34	Seattle             	24
09/18/1989	San Francisco       	20	Tampa Bay           	16
09/19/1989	Denver              	28	Buffalo             	14
09/25/1989	Buffalo             	47	Houston             	41
09/25/1989	Chicago             	47	Detroit             	27
09/25/1989	LA Raiders          	21	Denver              	31
09/25/1989	Atlanta             	 9	Indianapolis        	13
09/25/1989	Green Bay           	38	LA Rams             	41
09/25/1989	Phoenix             	 7	NY Giants           	35
09/25/1989	NY Jets             	40	Miami               	33
09/25/1989	Minnesota           	14	Pittsburgh          	27
09/25/1989	Kansas City         	 6	San Diego           	21
09/25/1989	San Francisco       	38	Philadelphia        	28
09/25/1989	Seattle             	24	New England         	 3
09/25/1989	New Orleans         	10	Tampa Bay           	20
09/25/1989	Washington          	30	Dallas              	 7
09/26/1989	Cleveland           	14	Cincinnati          	21
10/02/1989	New England         	10	Buffalo             	31
10/02/1989	Cincinnati          	21	Kansas City         	17
10/02/1989	Denver              	13	Cleveland           	16
10/02/1989	Atlanta             	21	Green Bay           	23
10/02/1989	Miami               	 7	Houston             	39
10/02/1989	Indianapolis        	17	NY Jets             	10
10/02/1989	LA Rams             	13	San Francisco       	12
10/02/1989	Tampa Bay           	 3	Minnesota           	17
10/02/1989	NY Giants           	30	Dallas              	13
10/02/1989	Pittsburgh          	23	Detroit             	 3
10/02/1989	San Diego           	24	Phoenix             	13
10/02/1989	Seattle             	24	LA Raiders          	20
10/02/1989	Washington          	16	New Orleans         	14
10/03/1989	Philadelphia        	13	Chicago             	27
10/09/1989	Cincinnati          	26	Pittsburgh          	16
10/09/1989	San Diego           	10	Denver              	16
10/09/1989	Dallas              	13	Green Bay           	31
10/09/1989	Buffalo             	14	Indianapolis        	37
10/09/1989	Kansas City         	20	Seattle             	16
10/09/1989	Atlanta             	14	LA Rams             	26
10/09/1989	Cleveland           	10	Miami               	13
10/09/1989	Detroit             	17	Minnesota           	24
10/09/1989	Houston             	13	New England         	23
10/09/1989	NY Giants           	19	Philadelphia        	21
10/09/1989	San Francisco       	24	New Orleans         	20
10/09/1989	Chicago             	35	Tampa Bay           	42
10/09/1989	Phoenix             	28	Washington          	30
10/10/1989	LA Raiders          	14	NY Jets             	 7
10/16/1989	New England         	15	Atlanta             	16
10/16/1989	Indianapolis        	 3	Denver              	14
10/16/1989	Detroit             	17	Tampa Bay           	16
10/16/1989	Houston             	33	Chicago             	28
10/16/1989	Kansas City         	14	LA Raiders          	20
10/16/1989	Miami               	20	Cincinnati          	13
10/16/1989	Green Bay           	14	Minnesota           	26
10/16/1989	NY Jets             	14	New Orleans         	29
10/16/1989	Washington          	17	NY Giants           	20
10/16/1989	Philadelphia        	17	Phoenix             	 5
10/16/1989	Pittsburgh          	17	Cleveland           	 7
10/16/1989	San Francisco       	31	Dallas              	14
10/16/1989	Seattle             	17	San Diego           	16
10/17/1989	LA Rams             	20	Buffalo             	23
10/22/1989	LA Raiders          	 7	Philadelphia        	10
10/23/1989	NY Jets             	 3	Buffalo             	34
10/23/1989	Denver              	24	Seattle             	21
10/23/1989	Pittsburgh          	 0	Houston             	27
10/23/1989	Indianapolis        	23	Cincinnati          	12
10/23/1989	Dallas              	28	Kansas City         	36
10/23/1989	Green Bay           	20	Miami               	23
10/23/1989	Minnesota           	20	Detroit             	 7
10/23/1989	New Orleans         	40	LA Rams             	21
10/23/1989	NY Giants           	20	San Diego           	13
10/23/1989	Atlanta             	20	Phoenix             	34
10/23/1989	New England         	20	San Francisco       	37
10/23/1989	Tampa Bay           	28	Washington          	32
10/24/1989	Chicago             	 7	Cleveland           	27
10/30/1989	Miami               	17	Buffalo             	31
10/30/1989	LA Rams             	10	Chicago             	20
10/30/1989	Tampa Bay           	23	Cincinnati          	56
10/30/1989	Houston             	17	Cleveland           	28
10/30/1989	Detroit             	20	Green Bay           	23
10/30/1989	Washington          	24	LA Raiders          	37
10/30/1989	New England         	23	Indianapolis        	20
10/30/1989	Atlanta             	13	New Orleans         	20
10/30/1989	Philadelphia        	28	Denver              	24
10/30/1989	Phoenix             	19	Dallas              	10
10/30/1989	Kansas City         	17	Pittsburgh          	23
10/30/1989	San Francisco       	23	NY Jets             	10
10/30/1989	San Diego           	 7	Seattle             	10
10/31/1989	Minnesota           	14	NY Giants           	24
11/05/1989	Buffalo             	28	Atlanta             	30
11/05/1989	Cleveland           	42	Tampa Bay           	31
11/05/1989	Dallas              	13	Washington          	 3
11/05/1989	Pittsburgh          	 7	Denver              	34
11/05/1989	Chicago             	13	Green Bay           	14
11/05/1989	Detroit             	31	Houston             	35
11/05/1989	Seattle             	10	Kansas City         	20
11/05/1989	Cincinnati          	 7	LA Raiders          	28
11/05/1989	Indianapolis        	13	Miami               	19
11/05/1989	LA Rams             	21	Minnesota           	23
11/05/1989	NY Giants           	20	Phoenix             	13
11/05/1989	NY Jets             	27	New England         	26
11/05/1989	Philadelphia        	17	San Diego           	20
11/06/1989	New Orleans         	13	San Francisco       	31
11/12/1989	Indianapolis        	 7	Buffalo             	30
11/12/1989	Chicago             	20	Pittsburgh          	 0
11/12/1989	Cleveland           	17	Seattle             	 7
11/12/1989	Denver              	16	Kansas City         	13
