09/01/1991	Miami               	31	Buffalo             	35
09/01/1991	Minnesota           	 6	Chicago             	10
09/01/1991	Dallas              	26	Cleveland           	14
09/01/1991	Cincinnati          	14	Denver              	45
09/01/1991	LA Raiders          	17	Houston             	47
09/01/1991	Atlanta             	 3	Kansas City         	14
09/01/1991	New England         	16	Indianapolis        	 7
09/01/1991	Seattle             	24	New Orleans         	27
09/01/1991	Tampa Bay           	13	NY Jets             	16
09/01/1991	Philadelphia        	20	Green Bay           	 3
09/01/1991	Phoenix             	24	LA Rams             	14
09/01/1991	San Diego           	20	Pittsburgh          	26
09/01/1991	Detroit             	 0	Washington          	45
09/02/1991	San Francisco       	14	NY Giants           	16
09/08/1991	Pittsburgh          	34	Buffalo             	52
09/08/1991	Chicago             	21	Tampa Bay           	20
09/08/1991	Cleveland           	20	New England         	 0
09/08/1991	Green Bay           	14	Detroit             	23
09/08/1991	Houston             	30	Cincinnati          	 7
09/08/1991	Denver              	13	LA Raiders          	16
09/08/1991	LA Rams             	19	NY Giants           	13
09/08/1991	Indianapolis        	 6	Miami               	17
09/08/1991	Minnesota           	20	Atlanta             	19
09/08/1991	New Orleans         	17	Kansas City         	10
09/08/1991	Phoenix             	26	Philadelphia        	10
09/08/1991	San Diego           	14	San Francisco       	34
09/08/1991	NY Jets             	13	Seattle             	20
09/09/1991	Washington          	33	Dallas              	31
09/15/1991	Atlanta             	13	San Diego           	10
09/15/1991	Buffalo             	23	NY Jets             	20
09/15/1991	NY Giants           	17	Chicago             	20
09/15/1991	Cincinnati          	13	Cleveland           	14
09/15/1991	Seattle             	10	Denver              	16
09/15/1991	Miami               	13	Detroit             	17
09/15/1991	Tampa Bay           	13	Green Bay           	15
09/15/1991	Indianapolis        	 0	LA Raiders          	16
09/15/1991	San Francisco       	14	Minnesota           	17
09/15/1991	LA Rams             	 7	New Orleans         	24
09/15/1991	Philadelphia        	24	Dallas              	 0
09/15/1991	New England         	 6	Pittsburgh          	20
09/15/1991	Phoenix             	 0	Washington          	34
09/16/1991	Kansas City         	 7	Houston             	17
09/22/1991	LA Raiders          	17	Atlanta             	21
09/22/1991	Buffalo             	17	Tampa Bay           	10
09/22/1991	Dallas              	17	Phoenix             	 9
09/22/1991	San Diego           	19	Denver              	27
09/22/1991	Detroit             	33	Indianapolis        	24
09/22/1991	Seattle             	13	Kansas City         	20
09/22/1991	Green Bay           	13	Miami               	16
09/22/1991	Houston             	20	New England         	24
09/22/1991	Minnesota           	 0	New Orleans         	26
09/22/1991	Cleveland           	10	NY Giants           	13
09/22/1991	Pittsburgh          	14	Philadelphia        	23
09/22/1991	LA Rams             	10	San Francisco       	27
09/22/1991	Washington          	34	Cincinnati          	27
09/23/1991	NY Jets             	13	Chicago             	19
09/29/1991	Chicago             	20	Buffalo             	35
09/29/1991	NY Giants           	16	Dallas              	21
09/29/1991	Denver              	13	Minnesota           	 6
09/29/1991	Tampa Bay           	 3	Detroit             	31
09/29/1991	Kansas City         	14	San Diego           	13
09/29/1991	San Francisco       	 6	LA Raiders          	12
09/29/1991	Green Bay           	21	LA Rams             	23
09/29/1991	New Orleans         	27	Atlanta             	 6
09/29/1991	Miami               	23	NY Jets             	41
09/29/1991	New England         	10	Phoenix             	24
09/29/1991	Indianapolis        	 3	Seattle             	31
09/30/1991	Philadelphia        	 0	Washington          	23
10/06/1991	Dallas              	20	Green Bay           	17
10/06/1991	Minnesota           	20	Detroit             	24
10/06/1991	Denver              	14	Houston             	42
10/06/1991	Miami               	20	New England         	10
10/06/1991	Phoenix             	 9	NY Giants           	20
10/06/1991	NY Jets             	17	Cleveland           	14
10/06/1991	Pittsburgh          	21	Indianapolis        	 3
10/06/1991	San Diego           	21	LA Raiders          	13
10/06/1991	Seattle             	13	Cincinnati          	 7
10/06/1991	Philadelphia        	13	Tampa Bay           	14
10/06/1991	Washington          	20	Chicago             	 7
10/07/1991	Buffalo             	 6	Kansas City         	33
10/13/1991	San Francisco       	34	Atlanta             	39
10/13/1991	Indianapolis        	 6	Buffalo             	42
10/13/1991	Cincinnati          	23	Dallas              	35
10/13/1991	Houston             	23	NY Jets             	20
10/13/1991	Miami               	 7	Kansas City         	42
10/13/1991	LA Raiders          	23	Seattle             	20
10/13/1991	San Diego           	24	LA Rams             	30
10/13/1991	Phoenix             	 7	Minnesota           	34
10/13/1991	New Orleans         	13	Philadelphia        	 6
10/13/1991	Cleveland           	17	Washington          	42
10/14/1991	NY Giants           	23	Pittsburgh          	20
10/17/1991	Chicago             	10	Green Bay           	 0
10/20/1991	Cleveland           	30	San Diego           	24
10/20/1991	Kansas City         	16	Denver              	19
10/20/1991	Houston             	17	Miami               	13
10/20/1991	LA Rams             	17	LA Raiders          	20
10/20/1991	Minnesota           	23	New England         	26
10/20/1991	Tampa Bay           	 7	New Orleans         	23
