09/06/1998	Pittsburgh          	20	Baltimore           	13
09/06/1998	Atlanta             	19	Carolina            	14
09/06/1998	Jacksonville        	24	Chicago             	23
09/06/1998	Tennessee           	23	Cincinnati          	14
09/06/1998	Detroit             	19	Green Bay           	38
09/06/1998	Tampa Bay           	 7	Minnesota           	31
09/06/1998	Washington          	24	NY Giants           	31
09/06/1998	Seattle             	38	Philadelphia        	 0
09/06/1998	New Orleans         	24	St Louis            	17
09/06/1998	Arizona             	10	Dallas              	38
09/06/1998	Miami               	24	Indianapolis        	15
09/06/1998	Buffalo             	14	San Diego           	16
09/06/1998	NY Jets             	30	San Francisco       	36
09/06/1998	Oakland             	 8	Kansas City         	28
09/07/1998	New England         	21	Denver              	27
09/13/1998	Philadelphia        	12	Atlanta             	17
09/13/1998	Cincinnati          	34	Detroit             	28
09/13/1998	Tampa Bay           	15	Green Bay           	23
09/13/1998	Kansas City         	16	Jacksonville        	21
09/13/1998	Buffalo             	 7	Miami               	13
09/13/1998	Carolina            	14	New Orleans         	19
09/13/1998	Baltimore           	24	NY Jets             	10
09/13/1998	Chicago             	12	Pittsburgh          	17
09/13/1998	Minnesota           	38	St Louis            	31
09/13/1998	San Diego           	13	Tennessee           	 7
09/13/1998	Dallas              	23	Denver              	42
09/13/1998	NY Giants           	17	Oakland             	20
09/13/1998	Arizona             	14	Seattle             	33
09/13/1998	Indianapolis        	 6	New England         	29
09/14/1998	San Francisco       	45	Washington          	10
09/20/1998	St Louis            	34	Buffalo             	33
09/20/1998	Green Bay           	13	Cincinnati          	 6
09/20/1998	San Diego           	 7	Kansas City         	23
09/20/1998	Pittsburgh          	 0	Miami               	21
09/20/1998	Detroit             	 6	Minnesota           	29
09/20/1998	Tennessee           	16	New England         	27
09/20/1998	Indianapolis        	 6	NY Jets             	44
09/20/1998	Washington          	14	Seattle             	24
09/20/1998	Chicago             	15	Tampa Bay           	27
09/20/1998	Baltimore           	10	Jacksonville        	24
09/20/1998	Denver              	34	Oakland             	17
09/20/1998	Philadelphia        	 3	Arizona             	17
09/21/1998	Dallas              	31	NY Giants           	 7
09/27/1998	Green Bay           	37	Carolina            	30
09/27/1998	Oakland             	13	Dallas              	12
09/27/1998	New Orleans         	19	Indianapolis        	13
09/27/1998	Kansas City         	24	Philadelphia        	21
09/27/1998	Arizona             	20	St Louis            	17
09/27/1998	Jacksonville        	27	Tennessee           	22
09/27/1998	Denver              	38	Washington          	16
09/27/1998	Seattle             	10	Pittsburgh          	13
09/27/1998	Minnesota           	31	Chicago             	28
09/27/1998	NY Giants           	34	San Diego           	16
09/27/1998	Atlanta             	20	San Francisco       	31
09/27/1998	Cincinnati          	24	Baltimore           	31
09/28/1998	Tampa Bay           	 6	Detroit             	27
10/04/1998	Carolina            	23	Atlanta             	51
10/04/1998	San Francisco       	21	Buffalo             	26
10/04/1998	Detroit             	27	Chicago             	31
10/04/1998	San Diego           	12	Indianapolis        	17
10/04/1998	New England         	30	New Orleans         	27
10/04/1998	Miami               	 9	NY Jets             	20
10/04/1998	Dallas              	31	Washington          	10
10/04/1998	Oakland             	23	Arizona             	20
10/04/1998	Philadelphia        	16	Denver              	41
10/04/1998	NY Giants           	 3	Tampa Bay           	20
10/04/1998	Seattle             	 6	Kansas City         	17
10/05/1998	Minnesota           	37	Green Bay           	24
10/11/1998	Tennessee           	12	Baltimore           	 8
10/11/1998	Pittsburgh          	20	Cincinnati          	25
10/11/1998	Carolina            	20	Dallas              	27
10/11/1998	Buffalo             	31	Indianapolis        	24
10/11/1998	San Francisco       	31	New Orleans         	 0
10/11/1998	Kansas City         	10	New England         	40
10/11/1998	Washington          	12	Philadelphia        	17
10/11/1998	Chicago             	 7	Arizona             	20
10/11/1998	San Diego           	 6	Oakland             	 7
10/11/1998	Denver              	21	Seattle             	16
10/11/1998	NY Jets             	10	St Louis            	30
10/11/1998	Atlanta             	34	NY Giants           	20
10/12/1998	Miami               	21	Jacksonville        	28
10/15/1998	Green Bay           	20	Detroit             	27
10/18/1998	New Orleans         	23	Atlanta             	31
10/18/1998	Jacksonville        	16	Buffalo             	17
10/18/1998	Washington          	 7	Minnesota           	41
10/18/1998	Arizona             	 7	NY Giants           	34
10/18/1998	Baltimore           	 6	Pittsburgh          	16
10/18/1998	Carolina            	13	Tampa Bay           	16
10/18/1998	Cincinnati          	14	Tennessee           	44
10/18/1998	Indianapolis        	31	San Francisco       	34
10/18/1998	Dallas              	12	Chicago             	13
10/18/1998	St Louis            	 0	Miami               	14
10/18/1998	Philadelphia        	10	San Diego           	13
10/19/1998	NY Jets             	24	New England         	14
10/25/1998	Minnesota           	34	Detroit             	13
10/25/1998	Baltimore           	10	Green Bay           	28
10/25/1998	New England         	 9	Miami               	12
10/25/1998	Tampa Bay           	 3	New Orleans         	 9
10/25/1998	Atlanta             	 3	NY Jets             	28
10/25/1998	San Francisco       	28	St Louis            	10
10/25/1998	Chicago             	23	Tennessee           	20
10/25/1998	Jacksonville        	24	Denver              	37
10/25/1998	Cincinnati          	10	Oakland             	27
