09/03/2000	San Francisco  	28	Atlanta        	36	1
09/03/2000	Baltimore      	16	Pittsburgh     	0	1
09/03/2000	Tennessee      	13	Buffalo        	16	1
09/03/2000	Detroit        	14	New Orleans    	10	1
09/03/2000	Indianapolis   	27	Kansas City    	14	1
09/03/2000	Jacksonville   	27	Cleveland      	7	1
09/03/2000	Seattle        	0	Miami          	23	1
09/03/2000	Chicago        	27	Minnesota      	30	1
09/03/2000	Arizona        	16	NY Giants      	21	1
09/03/2000	NY Jets        	20	Green Bay      	16	1
09/03/2000	San Diego      	6	Oakland        	9	1
09/03/2000	Philadelphia   	41	Dallas         	14	1
09/03/2000	Tampa Bay      	21	New England    	16	1
09/03/2000	Carolina       	17	Washington     	20	1
09/04/2000	Denver         	36	St Louis       	41	1
09/10/2000	Dallas         	31	Arizona        	32	1
09/10/2000	Jacksonville   	36	Baltimore      	39	1
09/10/2000	Green Bay      	18	Buffalo        	27	1
09/10/2000	Carolina       	38	San Francisco  	22	1
09/10/2000	Cleveland      	24	Cincinnati     	7	1
09/10/2000	Atlanta        	14	Denver         	42	1
09/10/2000	Washington     	10	Detroit        	15	1
09/10/2000	Miami          	7	Minnesota      	13	1
09/10/2000	New Orleans    	28	San Diego      	27	1
09/10/2000	NY Giants      	33	Philadelphia   	18	1
09/10/2000	Oakland        	38	Indianapolis   	31	1
09/10/2000	St Louis       	37	Seattle        	34	1
09/10/2000	Chicago        	0	Tampa Bay      	41	1
09/10/2000	Kansas City    	14	Tennessee      	17	1
09/11/2000	New England    	19	NY Jets        	20	1
09/17/2000	Atlanta        	15	Carolina       	10	1
09/17/2000	Pittsburgh     	20	Cleveland      	23	1
09/17/2000	Denver         	33	Oakland        	24	1
09/17/2000	Philadelphia   	3	Green Bay      	6	1
09/17/2000	Cincinnati     	0	Jacksonville   	13	1
09/17/2000	San Diego      	10	Kansas City    	42	1
09/17/2000	Baltimore      	6	Miami          	19	1
09/17/2000	Minnesota      	21	New England    	13	1
09/17/2000	NY Giants      	14	Chicago        	7	1
09/17/2000	Buffalo        	14	NY Jets        	27	1
09/17/2000	San Francisco  	24	St Louis       	41	1
09/17/2000	New Orleans    	10	Seattle        	20	1
09/17/2000	Tampa Bay      	31	Detroit        	10	1
09/18/2000	Dallas         	27	Washington     	21	1
09/24/2000	Cincinnati     	0	Baltimore      	37	1
09/24/2000	Detroit        	21	Chicago        	14	1
09/24/2000	Green Bay      	29	Arizona        	3	1
09/24/2000	Kansas City    	23	Denver         	22	1
09/24/2000	New England    	3	Miami          	10	1
09/24/2000	NY Jets        	21	Tampa Bay      	17	1
