09/05/2002  San Francisco       16  New York Giants     13
09/08/2002  Philadelphia        24  Tennessee           27
09/08/2002  Atlanta             34  Green Bay           37
09/08/2002    New York Jets   37  Buffalo         31
09/08/2002    St. Louis       16  Denver          23  1
09/08/2002    Kansas City     40  Cleveland       39  1
09/08/2002    Detroit         21  Miami           49  1
09/08/2002    San Diego       34  Cincinnati       6  1
09/08/2002    Minnesota       23  Chicago         27  1
09/08/2002    Arizona         23  Washington      31  1
09/08/2002    Indianapolis    28  Jacksonville    25  1
09/08/2002    Baltimore        7  Carolina        10  1
09/08/2002    Seattle         17  Oakland         31  1
09/08/2002    New Orleans     26  Tampa Bay       20  1
09/08/2002    Dallas          10  Houston         19  1
09/09/2002    Pittsburgh      14  New England     30  1
09/15/2002    Tampa Bay       25  Baltimore        0  1
09/15/2002    Chicago         14  Atlanta         13  1
09/15/2002    Tennessee       13  Dallas          21  1
09/15/2002    Green Bay       20  New Orleans     35  1
09/15/2002    Jacksonville    23  Kansas City     16  1
09/15/2002    Miami           21  Indianapolis    13  1
09/15/2002    New England     44  New York Jets    7  1
09/15/2002    Cincinnati       7  Cleveland       20  1
09/15/2002    Detroit          7  Carolina        31  1
09/15/2002    Oakland         30  Pittsburgh      17  1
09/15/2002    Denver          24  San Francisco   14  1
09/15/2002    Arizona         24  Seattle         13  1
09/15/2002    Buffalo         45  Minnesota       39  1
09/15/2002    New York Giants 26  St. Louis       21  1
09/15/2002    Houston          3  San Diego       24  1
09/16/2002    Philadelphia    37  Washington       7  1
09/22/2002    Carolina        21  Minnesota       14  1
09/22/2002    New Orleans     29  Chicago         23  1
09/22/2002    Indianapolis    23  Houston          3  1
09/22/2002    New York Jets    3  Miami           30  1
09/22/2002    Kansas City     38  New England     41  1
09/22/2002    Dallas          13  Philadelphia    44  1
09/22/2002    Cleveland       31  Tennessee       28  1
09/22/2002    San Diego       23  Arizona         15  1
09/22/2002    Buffalo         23  Denver          28  1
09/22/2002    Seattle          6  New York Giants  9  1
09/22/2002    Green Bay       37  Detroit         31  1
09/22/2002    Washington      10  San Francisco   20  1
09/22/2002    Cincinnati       3  Atlanta         30  1
09/23/2002    St. Louis       14  Tampa Bay       26  1
09/29/2002    Dallas          13  St. Louis       10  1
09/29/2002    Houston         17  Philadelphia    35  1
09/29/2002    New York Jets    3  Jacksonville    28  1
09/29/2002    Carolina        14  Green Bay       17  1
09/29/2002    New Orleans     21  Detroit         26  1
09/29/2002    Cleveland       13  Pittsburgh      16  1
09/29/2002    Chicago         27  Buffalo         33  1
09/29/2002    Miami           30  Kansas City     48  1
09/29/2002    Tampa Bay       35  Cincinnati       7  1
09/29/2002    New York Giants  7  Arizona         21  1
09/29/2002    Tennessee       25  Oakland         52  1
09/29/2002    New England     14  San Diego       21  1
09/29/2002    Minnesota       23  Seattle         48  1
09/30/2002    Denver          23  Baltimore       34  1
10/06/2002    Cincinnati      21  Indianapolis    28  1
10/06/2002    New York Giants 21  Dallas          17  1
10/06/2002    Arizona         16  Carolina        13  1
10/06/2002    Oakland         49  Buffalo         31  1
10/06/2002    Tampa Bay       20  Atlanta          6  1
10/06/2002    Washington      31  Tennessee       14  1
10/06/2002    Pittsburgh      29  New Orleans     32  1
10/06/2002    New England     13  Miami           26  1
10/06/2002    Kansas City     29  New York Jets   25  1
10/06/2002    San Diego        9  Denver          26  1
10/06/2002    St. Louis       13  San Francisco   37  1
10/06/2002    Philadelphia    25  Jacksonville    28  1
10/06/2002    Baltimore       26  Cleveland       21  1
10/07/2002    Green Bay       34  Chicago         21  1
10/13/2002    Green Bay       28  New England     10  1
10/13/2002    Atlanta         17  New York Giants 10  1
10/13/2002    Cleveland        3  Tampa Bay       17  1
10/13/2002    New Orleans     43  Washington      27  1
10/13/2002    Detroit         24  Minnesota       31  1
10/13/2002    Pittsburgh      34  Cincinnati       7  1
10/13/2002    Buffalo         31  Houston         24  1
10/13/2002    Carolina        13  Dallas          14  1
10/13/2002    Baltimore       20  Indianapolis    22  1
10/13/2002    Kansas City     34  San Diego       35  1
10/13/2002    Oakland         13  St. Louis       28  1
10/13/2002    Jacksonville    14  Tennessee       23  1
10/13/2002    Miami           24  Denver          22  1
10/14/2002    San Francisco   28  Seattle         21  1
10/20/2002    Washington       9  Green Bay       30  1
10/20/2002    Seattle         20  St. Louis       37  1
10/20/2002    Minnesota        7  New York Jets   20  1
10/20/2002    San Francisco   27  New Orleans     35  1
10/20/2002    Buffalo         23  Miami           10  1
10/20/2002    Denver          37  Kansas City     34  1
10/20/2002    Chicago         20  Detroit         23  1
10/20/2002    Jacksonville    10  Baltimore       17  1
10/20/2002    Carolina         0  Atlanta         30  1
